ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,HEALTH_RATING,DISEASE_RATING,DISFREW_RATING,DISSEV_RATING,Overall_Health_Rating
3,1,29,2,1,6.6,4.3,4.4,5.4,5.175
3,1,29,2,2,6.4,4.5,4.1,6.2,5.3
1,1,36,3,1,4.8,5,4.9,5.1,4.95
1,1,36,3,2,4.5,5,4.2,6,4.925
100,0,38,1,1,5.5,5.8,5,5.1,5.35
100,0,38,1,2,5,6.4,4.8,5.3,5.375
33,0,25,3,1,6.3,5.4,5,6.1,5.7
33,0,25,3,2,4.4,4.5,4.6,5.3,4.7
58,1,29,1,1,5.1,6,5,5.6,5.425
58,1,29,1,2,5.4,5.3,5.3,5.8,5.45
11,0,56,1,1,5.8,5.7,4.9,4.6,5.25
11,0,56,1,2,4.8,4.9,4.6,4.1,4.6
45,1,38,1,1,6,4.6,5.1,5,5.175
45,1,38,1,2,5.5,4.6,4.1,5.7,4.975
73,0,32,1,1,4.8,5.9,5,4.9,5.15
73,0,32,1,2,4.9,5.5,5.2,4.1,4.925
94,1,32,2,1,6.5,5.3,4.6,6.1,5.625
94,1,32,2,2,5.6,5.4,4.1,5.6,5.175
47,1,41,1,1,5.5,6.2,5.6,5,5.575
47,1,41,1,2,4,5.1,5.1,5.1,4.825
54,0,29,1,1,5.5,5.1,5.9,5.3,5.45
54,0,29,1,2,4.6,4.6,4.5,4,4.425
41,1,34,1,1,5.2,5.9,5,4.5,5.15
41,1,34,1,2,4.8,5.3,4.7,5.2,5
12,0,23,1,1,6,6.7,5.7,4.7,5.775
12,0,23,1,2,5.4,5.8,5.5,4.1,5.2
21,1,49,1,1,4.8,4.6,5.3,5.7,5.1
21,1,49,1,2,4.7,4.7,4.8,4.8,4.75
60,0,30,1,1,5.8,5.8,5.1,5.3,5.5
60,0,30,1,2,5,5.3,5.6,5.8,5.425
102,1,32,1,1,5,6,5,5.6,5.4
102,1,32,1,2,4.9,6,5,5.2,5.275
7,1,25,3,1,6,5.8,5.6,5.2,5.65
7,1,25,3,2,4.2,4.3,4.6,4.5,4.4
125,0,32,1,1,6.7,5.5,5.3,5.5,5.75
125,0,32,1,2,4.9,5.1,4.8,4.8,4.9
68,1,35,1,1,6,6,6.8,5,5.95
68,1,35,1,2,5.4,5.6,6.2,4.7,5.475
106,0,35,1,1,5.2,4.6,4.9,4.5,4.8
106,0,35,1,2,4.9,4.5,4.4,5.3,4.775
36,1,28,1,1,5.5,5,5.6,5.5,5.4
36,1,28,1,2,5.1,5.6,4.9,5.1,5.175
34,0,37,2,1,5.4,4.9,4.9,5.1,5.075
34,0,37,2,2,5.3,4.6,5.5,4.8,5.05
101,0,51,1,1,5.7,5.9,5.2,5.6,5.6
101,0,51,1,2,4.8,4.8,4,4.4,4.5
71,0,31,1,1,6.2,5,5,5.4,5.4
71,0,31,1,2,4.7,4.1,4.7,5.2,4.675
90,1,35,1,1,5.2,5.4,5.5,5.5,5.4
90,1,35,1,2,5.7,5.5,5.5,4.8,5.375
105,0,62,1,1,5.1,6.3,5.7,5.3,5.6
105,0,62,1,2,4.5,5.4,5.4,4.5,4.95
9,1,32,1,1,5,5,4.7,5,4.925
9,1,32,1,2,5,5,4,5,4.75
27,0,26,1,1,5.6,5.1,5.3,4.7,5.175
27,0,26,1,2,6,5.7,5.4,4.9,5.5
22,0,32,1,1,5.4,5.2,5.1,6,5.425
22,0,32,1,2,4.6,4.9,4.5,5.2,4.8
103,1,35,1,1,4.9,4.9,5.1,4.8,4.925
103,1,35,1,2,4.3,4.5,4.7,4.5,4.5
78,1,43,1,1,6.3,5.2,5.5,4.7,5.425
78,1,43,1,2,6,5.1,5.4,5,5.375
76,1,29,1,1,4.9,4.9,4.6,5,4.85
76,1,29,1,2,4.9,5,4.8,5.2,4.975
53,1,41,1,1,4.7,5.1,5.2,5.3,5.075
53,1,41,1,2,4.9,4.8,4.7,5.1,4.875
4,1,24,1,1,5.1,5,5.4,4.5,5
4,1,24,1,2,5.1,5,5.1,4.8,5
128,0,29,1,1,4.9,4.9,5,5,4.95
128,0,29,1,2,5,5,4.6,5,4.9
28,1,25,1,1, ,5.7,6.7,6.4, 
28,1,25,1,2, ,4.6,4.8,3, 
49,1,33,3,1, ,6.1,4.6,4.4, 
49,1,33,3,2, ,5.7,5.5,4.9, 
77,0,25,3,1,4.9,4.9,5.1,5,4.975
77,0,25,3,2,4.6, ,4.8,5.4, 
80,1,36,1,1, ,2.9,6.9,6.8, 
80,1,36,1,2, ,4.4,6.2,5.1, 
126,0,32,1,1, ,4.1,5.3,4.9, 
126,0,32,1,2, ,7.1,5.1,4.3, 
